17-11-5 下午5:23
项目统计

     	  片段	   词汇	字符（无空白）	字符（含空白）	#Files	
总共：  	4029	33962	 206472	 235126	    21	
剩余：  	3923	32293	 197793	 224893	    21	
独特：  	2912	31044	 186457	 213193	    21	
剩余独特：	2824	29566	 178663	 204022	    21	


单文件统计：

文件名                                                                    	总片段	剩余片段	独特片段	剩余独特片段	总计词汇	剩余词汇	独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
HOL-Continuous_Integration/README.md                                   	125	  37	 124	    36	1645	 167	1642	   164	    8907	     1113	     8873	       1079	   10359	     1188	    10325	       1154	
HOL-Continuous_Deployment/README.md                                    	354	 354	 295	   295	3853	3853	3794	  3794	   21600	    21600	    21470	      21470	   24977	    24977	    24847	      24847	
Authentication.md                                                      	 49	  49	  42	    42	 563	 563	 510	   510	    2888	     2888	     2590	       2590	    3337	     3337	     3000	       3000	
Deployment.md                                                          	 63	  63	  51	    51	 584	 584	 570	   570	    3295	     3295	     3254	       3254	    3832	     3832	     3789	       3789	
EntityFramework7.md                                                    	 39	  39	  33	    33	 348	 348	 342	   342	    2162	     2162	     2150	       2150	    2450	     2450	     2438	       2438	
GettingStarted.md                                                      	 37	  37	  33	    33	 341	 341	 337	   337	    1934	     1934	     1926	       1926	    2217	     2217	     2209	       2209	
GettingStartedLinuxOSX.md                                              	 76	  76	  57	    57	 549	 549	 528	   528	    3191	     3191	     3022	       3022	    3693	     3693	     3511	       3511	
HOL-Advanced_Feature_Flag_for_Web_Applications/README.md               	462	 461	 340	   340	2479	2477	2407	  2407	   18107	    18087	    17186	      17186	   20113	    20090	    19151	      19151	
HOL-Error_Reporting_and_Monitoring_with_DataDog/README.md              	436	 426	 261	   261	2446	2312	2204	  2204	   16059	    15457	    14129	      14129	   18107	    17381	    15980	      15980	
HOL-Experimentation_and_AB_Testing_with_Optimizely/README.md           	152	 151	 119	   119	1177	1175	1135	  1135	    6346	     6326	     6197	       6197	    7323	     7300	     7163	       7163	
HOL-Fault_Injection_for_Azure_PaaS/README.md                           	249	 249	 157	   157	2446	2446	2184	  2184	   13011	    13011	    11663	      11663	   15089	    15089	    13625	      13625	
HOL-Fault_Injection_for_Service_Fabric/README.md                       	220	 220	 200	   200	1847	1847	1808	  1808	   12472	    12472	    11904	      11904	   13927	    13927	    13343	      13343	
HOL-Fault_Injection_for_Service_Fabric_with_Hackathon_Starter/README.md	259	 259	 168	   168	2274	2274	1624	  1624	   14626	    14626	    10110	      10110	   16430	    16430	    11401	      11401	
HOL-Feature_Flag_for_a_Mobile_Solution/README.md                       	107	 107	  70	    70	1154	1154	1062	  1062	    6867	     6867	     6423	       6423	    7846	     7846	     7378	       7378	
HOL-Feature_Flag_for_an_API/README.md                                  	454	 454	 250	   250	3114	3114	2476	  2476	   20111	    20111	    15630	      15630	   22672	    22672	    17786	      17786	
HOL-Feature_Flag_for_Web_Applications/README.md                        	339	 339	 206	   206	2160	2160	1751	  1751	   15134	    15134	    12158	      12158	   16917	    16917	    13611	      13611	
HOL-HDD_Testing_in_Production/README.md                                	101	  99	  91	    91	1141	1132	1113	  1113	    6477	     6429	     6291	       6291	    7448	     7393	     7254	       7254	
HOL-Quick_Start/README.md                                              	182	 179	 145	   145	2234	2197	2048	  2048	   12401	    12234	    11453	      11453	   14365	    14164	    13275	      13275	
HOL-Usage_Analysis_With_Application_Insights/README.md                 	206	 206	 163	   163	1802	1802	1755	  1755	   10901	    10901	    10373	      10373	   12467	    12467	    11907	      11907	
HOL_User_Telemetry_APM_With_App_Insights/README.md                     	 89	  88	  78	    78	1316	1309	1274	  1274	    7497	     7469	     7221	       7221	    8639	     8605	     8341	       8341	
MachineLearning.md                                                     	 30	  30	  29	    29	 489	 489	 480	   480	    2486	     2486	     2434	       2434	    2918	     2918	     2859	       2859	
